Boletos,Ingresos,% Δ,Cantidad,% Δ
Punta de Vacas → Mendoza,234719.9985,0.01%,15,0.05%
Cnia 25 de Mayo - LPM → NEUQUEN,212600.0006,0.01%,15,0.05%
Caleta Olivia → Mendoza,3023369.82,0.14%,14,0.05%
LAS GRUTAS → RIO GALLEGOS,2629342.002,0.12%,14,0.05%
Buenos Aires → COMODORO RIVADAVIA,2350830.001,0.11%,14,0.05%
Caleta Olivia → BAHIA BLANCA,1880958.004,0.09%,14,0.05%
Mendoza → RINCÓN DE LOS SAUCES,1701000.001,0.08%,14,0.05%
TRELEW → Retiro Buenos Aires,1626570.002,0.08%,14,0.05%
Cipolletti - RNG → COMODORO RIVADAVIA,1585520.004,0.07%,14,0.05%
CORDOBA → Perico,1071445,0.05%,14,0.05%
Mendoza → Plottier,966360.0027,0.04%,14,0.05%
SAN LUIS → SANTA FE,931880.001,0.04%,14,0.05%
SAN LUIS → Buenos Aires,920540.0019,0.04%,14,0.05%
COMODORO RIVADAVIA → Pto San Julian,767999.9995,0.04%,14,0.05%
Santiago → Osorno,716100.0017,0.03%,14,0.05%
Catriel → LAS GRUTAS,633370.0025,0.03%,14,0.05%
La Quiaca → Salta,491400.0023,0.02%,14,0.05%
RAWSON → Caleta Olivia,485448.0011,0.02%,14,0.05%
CATAMARCA → TUCUMAN,453520.001,0.02%,14,0.05%
Realico - LPM → CORDOBA,435470.0006,0.02%,14,0.05%
CORDOBA → Villa Mercedes - SLU,402110.0026,0.02%,14,0.05%
SAN JUAN → Mendoza,387210.0028,0.02%,14,0.05%
San Martin (MZA) → SAN LUIS,303660.0003,0.01%,14,0.05%
SANTA ROSA - LPM → Huinca Renanco,271379.9974,0.01%,14,0.05%
RESISTENCIA → Bella Vista - COR,158614.0007,0.01%,14,0.05%
COMODORO RIVADAVIA → TUCUMAN,3338250,0.16%,13,0.04%
Gral Guemes → BAHIA BLANCA,2642593.678,0.12%,13,0.04%
Mendoza → Roque Saenz Peña,1936950.002,0.09%,13,0.04%
BAHIA BLANCA → Caleta Olivia,1850640.002,0.09%,13,0.04%
Caleta Olivia → General Roca,1850020.002,0.09%,13,0.04%
LINIERS → PUERTO MADRYN,1822589.995,0.08%,13,0.04%
Caleta Olivia → Cipolletti - RNG,1746379.999,0.08%,13,0.04%
LA PLATA → TRELEW,1665740.003,0.08%,13,0.04%
PUERTO MADRYN → Buenos Aires,1514060.001,0.07%,13,0.04%
Buenos Aires → San Juan,1455269.999,0.07%,13,0.04%
General Roca → COMODORO RIVADAVIA,1382925.002,0.06%,13,0.04%
PUERTO MADRYN → LA PLATA,1323810.001,0.06%,13,0.04%
LA RIOJA → San Salvador de Jujuy,1133240.001,0.05%,13,0.04%
SANTA FE → SAN LUIS,914569.2997,0.04%,13,0.04%
Pto San Julian → COMODORO RIVADAVIA,768755.9974,0.04%,13,0.04%
BAHIA BLANCA → SIERRA GRANDE - RNG,752610.0014,0.03%,13,0.04%
SANTA ROSA - LPM → CORDOBA,726350.0024,0.03%,13,0.04%
SAN LUIS → SANTA ROSA - LPM,656440.0019,0.03%,13,0.04%
SANTA FE → RIO CUARTO,602020.0009,0.03%,13,0.04%
Cipolletti - RNG → BAHIA BLANCA,551249.9995,0.03%,13,0.04%
Caleta Olivia → RAWSON,479390.0022,0.02%,13,0.04%
Villa Mercedes - SLU → Mendoza,396279.9997,0.02%,13,0.04%
TUCUMAN → Perico,390409.9969,0.02%,13,0.04%
BAHIA BLANCA → Padre Buodo Acc,309515.0001,0.01%,13,0.04%
RIO CUARTO → Realico - LPM,297779.9998,0.01%,13,0.04%
